Product type : SPD1305X
Product SRLN : SPD13DCQ7R0934
Product Software Version : 2.1.1.9R1
Number of channels : 1
Software Version : V1.0.2
File type: CSV
File version: 1.0
Interval : 0.5S
Date : 2025-03-25 11:10:47

Time,CH1 VOLT,CH1 CURR
535.321,30.000,1.052
535.850,30.000,1.058
536.383,30.000,1.055
536.913,30.000,1.042
537.446,30.000,1.063
537.965,30.000,1.054
538.494,30.000,1.095
539.020,30.000,1.065
539.535,30.000,1.080
540.055,30.000,1.052
540.575,30.000,1.079
541.110,30.000,1.060
541.644,30.000,1.102
542.175,30.000,1.057
542.711,30.000,1.079
543.211,30.000,1.083
543.733,30.000,1.090
544.251,30.000,1.062
544.772,30.000,1.070
545.302,30.000,1.076
545.835,30.000,1.092
546.355,30.000,1.058
546.886,30.000,1.083
547.429,30.000,1.074
547.927,30.000,1.078
548.463,30.000,1.060
548.995,30.000,1.061
549.529,30.000,1.047
550.045,30.000,1.078
550.580,30.000,1.070
551.099,30.000,1.052
551.625,30.000,1.111
552.150,30.000,1.060
552.682,30.000,1.069
553.203,30.000,1.060
553.720,30.000,1.103
554.253,30.000,1.039
554.767,30.000,1.078
555.300,30.000,1.052
555.816,30.000,1.047
556.336,30.000,1.053
556.863,30.000,1.081
557.383,30.000,1.067
557.913,30.000,1.087
558.431,30.000,1.094
558.965,30.000,1.117
559.495,30.000,1.065
560.027,30.000,1.086
560.545,30.000,1.071
561.056,30.000,1.050
561.581,30.000,1.067
562.113,30.000,1.078
562.634,30.000,1.076
563.151,30.000,1.054
563.684,30.000,1.079
564.199,30.000,1.054
564.731,30.000,1.063
565.276,30.000,1.057
565.776,30.000,1.070
566.300,30.000,1.066
566.816,30.000,1.078
567.334,30.000,1.074
567.853,30.000,1.056
568.390,30.000,1.053
568.906,30.000,0.010
569.421,30.000,0.113
569.955,30.000,1.078
570.473,30.000,1.076
571.011,30.000,1.078
571.525,30.000,1.100
572.044,30.000,1.079
572.562,30.000,1.108
573.081,30.000,1.080
573.600,30.000,1.108
574.120,30.000,1.078
574.652,30.000,1.097
575.170,30.000,1.079
575.692,30.000,1.103
